image_path,steering_angle,command
dataset/img_00000.png,0.0,2
dataset/img_00010.png,0.0,2
dataset/img_00020.png,0.0,2
dataset/img_00030.png,0.0,2
dataset/img_00040.png,0.0,2
dataset/img_00050.png,0.0,2
dataset/img_00060.png,0.0,2
dataset/img_00070.png,0.0,2
dataset/img_00080.png,0.0,2
dataset/img_00090.png,0.0,2
dataset/img_00100.png,0.0,2
dataset/img_00110.png,0.0,2
dataset/img_00120.png,0.0,2
dataset/img_00130.png,0.0,2
dataset/img_00140.png,0.0,2
dataset/img_00150.png,0.0,2
dataset/img_00160.png,0.0,2
dataset/img_00170.png,0.0,2
dataset/img_00180.png,0.0,2
dataset/img_00190.png,0.0,2
dataset/img_00200.png,0.0,2
dataset/img_00210.png,0.0,2
dataset/img_00220.png,0.0,2
dataset/img_00230.png,0.0,2
dataset/img_00240.png,0.0,2
dataset/img_00250.png,0.0,2
dataset/img_00260.png,0.0,2
dataset/img_00270.png,0.0,2
dataset/img_00280.png,0.0,2
dataset/img_00290.png,0.0,2
dataset/img_00300.png,0.0,2
dataset/img_00310.png,0.0,2
dataset/img_00320.png,0.0,2
dataset/img_00330.png,0.0,2
dataset/img_00340.png,0.0,2
dataset/img_00350.png,0.0,2
dataset/img_00360.png,0.0,2
dataset/img_00370.png,0.0,2
dataset/img_00380.png,0.0,2
dataset/img_00390.png,0.0,2
dataset/img_00400.png,0.0,2
dataset/img_00410.png,0.0,2
dataset/img_00420.png,0.0,2
dataset/img_00430.png,0.0,2
dataset/img_00440.png,0.0,2
dataset/img_00450.png,0.0,2
dataset/img_00460.png,0.0,2
dataset/img_00470.png,0.0,2
dataset/img_00480.png,0.0,2
dataset/img_00490.png,0.0,2
dataset/img_00500.png,0.0,2
dataset/img_00510.png,0.0,2
dataset/img_00520.png,0.0,2
dataset/img_00530.png,0.0,2
dataset/img_00540.png,0.0,2
dataset/img_00550.png,0.0,2
dataset/img_00560.png,0.0,2
dataset/img_00570.png,0.0,2
dataset/img_00580.png,0.0,2
dataset/img_00590.png,0.0,2
dataset/img_00600.png,0.0,2
dataset/img_00610.png,0.0,2
dataset/img_00620.png,0.0,2
dataset/img_00630.png,0.0,2
dataset/img_00640.png,0.0,2
dataset/img_00650.png,0.0,2
dataset/img_00660.png,0.0,2
dataset/img_00670.png,0.0,2
dataset/img_00680.png,0.0,2
dataset/img_00690.png,0.0,2
